"","ISO 3","Continent","Country","Corporate Tax Rate","Tax Rate Accounting for Global Minimum Tax","Joined the Pillar Two Statement","Income Inclusion Rule (IIR)","Undertaxed Profits Rule (UTPR)","Qualified Domestic Minimum Top-up Tax (QDMTT)"
"242","VIR","NO","United States Virgin Islands",23.1,23.1,"No","No","No","No"
"243","VNM","AS","Viet Nam",20,20,"Yes","Yes","No","Yes"
"244","VUT","OC","Vanuatu",0,0,"No","No","No","No"
"245","WLF","OC","Wallis and Futuna Islands",0,0,"No","No","No","No"
"246","WSM","OC","Samoa",27,27,"No","No","No","No"
"247","XKX","EU","Kosovo, Republic of",10,10,"No","No","No","No"
"248","YEM","AS","Yemen",20,20,"No","No","No","No"
"249","ZAF","AF","South Africa",27,27,"Yes","Yes","No","Yes"
"250","ZMB","AF","Zambia",30,30,"Yes","No","No","No"
"251","ZWE","AF","Zimbabwe",24.72,24.72,"No","No","No","Yes"
